srcStateName,srcYear,Country,StateCode,StateName,TotalPopulation,TotalPopulationUrban,YearCode,TotalPopulationRural,TotalPopulationMale,Year,TotalPopulationMaleUrban,TotalPopulationMaleRural,TotalPopulationFemale,TotalPopulationFemaleUrban,TotalPopulationFemaleRural,NumberOfHouseholds,NumberOfHouseholdsUrban,NumberOfHouseholdsRural,LandAreaUrban,LandAreaRural,LandArea,LandAreaMappingError%,LandAreaUrbanMappingError%,LandAreaRuralMappingError%,TotalPopulationMappingError%,TotalPopulationUrbanMappingError%,TotalPopulationRuralMappingError%,TotalPopulationMaleMappingError%,TotalPopulationMaleUrbanMappingError%,TotalPopulationMaleRuralMappingError%,TotalPopulationFeMaleMappingError%,TotalPopulationFeMaleUrbanMappingError%,TotalPopulationFeMaleRuralMappingError%,NumberOfHouseholdsMappingError%,NumberOfHouseholdsUrbanMappingError%,NumberOfHouseholdsRuralMappingError%,NumberOfChildren,NumberOfParents,WeighingRatio_TotalPopulation,WeighingRatio_Percentage_TotalPopulation,WeighingRatio_TotalPopulationUrban,WeighingRatio_Percentage_TotalPopulationUrban,WeighingRatio_TotalPopulationRural,WeighingRatio_Percentage_TotalPopulationRural,WeighingRatio_TotalPopulationMale,WeighingRatio_Percentage_TotalPopulationMale,WeighingRatio_TotalPopulationMaleUrban,WeighingRatio_Percentage_TotalPopulationMaleUrban,WeighingRatio_TotalPopulationMaleRural,WeighingRatio_Percentage_TotalPopulationMaleRural,WeighingRatio_TotalPopulationFemale,WeighingRatio_Percentage_TotalPopulationFemale,WeighingRatio_TotalPopulationFemaleUrban,WeighingRatio_Percentage_TotalPopulationFemaleUrban,WeighingRatio_TotalPopulationFemaleRural,WeighingRatio_Percentage_TotalPopulationFemaleRural,WeighingRatio_NumberOfHouseholds,WeighingRatio_Percentage_NumberOfHouseholds,WeighingRatio_NumberOfHouseholdsUrban,WeighingRatio_Percentage_NumberOfHouseholdsUrban,WeighingRatio_NumberOfHouseholdsRural,WeighingRatio_Percentage_NumberOfHouseholdsRural,WeighingRatio_LandAreaUrban,WeighingRatio_Percentage_LandAreaUrban,WeighingRatio_LandAreaRural,WeighingRatio_Percentage_LandAreaRural,WeighingRatio_LandArea,WeighingRatio_Percentage_LandArea
Jammu and Kashmir,2018,India,1,JAMMU AND KASHMIR,12267013,3371233,2018,8895780,6483906,"Calendar Year (Jan - Dec), 2018",1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335435.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812914480490143687,1,0.98193864574649849909,1,0.97669317066422487335,1,0.97639452211240385371,1,0.97822188046737059831,1,0.97568026822623713550,1,0.98008131321348192738,1,0.98636488653571631408,1,0.97780912468966211101,1,0.98101304041386637279,1,0.98376259304060676161,1,0.98001072463376276930,1,0.978903123789854,1,0.975481728055946,1,0.975658896767294,1
Jammu and Kashmir,2019,India,1,JAMMU AND KASHMIR,12267013,3371233,2019,8895780,6483906,"Calendar Year (Jan - Dec), 2019",1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335435.25,0,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,2,1,0.97812914480490143687,1,0.98193864574649849909,1,0.97669317066422487335,1,0.97639452211240385371,1,0.97822188046737059831,1,0.97568026822623713550,1,0.98008131321348192738,1,0.98636488653571631408,1,0.97780912468966211101,1,0.98101304041386637279,1,0.98376259304060676161,1,0.98001072463376276930,1,0.978903123789854,1,0.975481728055946,1,0.975658896767294,1
Jammu and Kashmir,2020,India,1,JAMMU AND KASHMIR,12267013,3371233,2020,8895780,6483906,"Calendar Year (Jan - Dec), 2020",1825543,4658363,5783107,1545690,4237417,2079471,557090,1522381,121337,2.2141e+06,2335440.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Himachal Pradesh,2018,India,2,HIMACHAL PRADESH,6864602,688552,2018,6176050,3481873,"Calendar Year (Jan - Dec), 2018",371528,3110345,3382729,317024,3065705,1483280,170770,1312510,27130,4.55071e+06,4577843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Himachal Pradesh,2019,India,2,HIMACHAL PRADESH,6864602,688552,2019,6176050,3481873,"Calendar Year (Jan - Dec), 2019",371528,3110345,3382729,317024,3065705,1483280,170770,1312510,27130,4.55071e+06,4577843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Himachal Pradesh,2020,India,2,HIMACHAL PRADESH,6864602,688552,2020,6176050,3481873,"Calendar Year (Jan - Dec), 2020",371528,3110345,3382729,317024,3065705,1483280,170770,1312510,27130,4.55071e+06,4577843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2018,India,3,PUNJAB,27743338,10399146,2018,17344192,14639465,"Calendar Year (Jan - Dec), 2018",5545989,9093476,13103873,4853157,8250716,5513071,2154958,3358113,251460,4.78989e+06,5041350.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2019,India,3,PUNJAB,27743338,10399146,2019,17344192,14639465,"Calendar Year (Jan - Dec), 2019",5545989,9093476,13103873,4853157,8250716,5513071,2154958,3358113,251460,4.78989e+06,5041350.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punjab,2020,India,3,PUNJAB,27743338,10399146,2020,17344192,14639465,"Calendar Year (Jan - Dec), 2020",5545989,9093476,13103873,4853157,8250716,5513071,2154958,3358113,251460,4.78989e+06,5041350.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chandigarh,2018,India,4,CHANDIGARH,1055450,1026459,2018,28991,580663,"Calendar Year (Jan - Dec), 2018",563513,17150,474787,462946,11841,241173,234033,7140,10953,447,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chandigarh,2019,India,4,CHANDIGARH,1055450,1026459,2019,28991,580663,"Calendar Year (Jan - Dec), 2019",563513,17150,474787,462946,11841,241173,234033,7140,10953,447,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chandigarh,2020,India,4,CHANDIGARH,1055450,1026459,2020,28991,580663,"Calendar Year (Jan - Dec), 2020",563513,17150,474787,462946,11841,241173,234033,7140,10953,447,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttarakhand,2018,India,5,UTTARAKHAND,10086292,3049338,2018,7036954,5137773,"Calendar Year (Jan - Dec), 2018",1618731,3519042,4948519,1430607,3517912,2056975,631889,1425086,90193,3.36367e+06,3453862.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttarakhand,2019,India,5,UTTARAKHAND,10086292,3049338,2019,7036954,5137773,"Calendar Year (Jan - Dec), 2019",1618731,3519042,4948519,1430607,3517912,2056975,631889,1425086,90193,3.36367e+06,3453862.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uttarakhand,2020,India,5,UTTARAKHAND,10086292,3049338,2020,7036954,5137773,"Calendar Year (Jan - Dec), 2020",1618731,3519042,4948519,1430607,3517912,2056975,631889,1425086,90193,3.36367e+06,3453862.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Haryana,2018,India,6,HARYANA,25351462,8842103,2018,16509359,13494734,"Calendar Year (Jan - Dec), 2018",4720728,8774006,11856728,4121375,7735353,4857524,1813768,3043756,197608,4.19564e+06,4393243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Haryana,2019,India,6,HARYANA,25351462,8842103,2019,16509359,13494734,"Calendar Year (Jan - Dec), 2019",4720728,8774006,11856728,4121375,7735353,4857524,1813768,3043756,197608,4.19564e+06,4393243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Haryana,2020,India,6,HARYANA,25351462,8842103,2020,16509359,13494734,"Calendar Year (Jan - Dec), 2020",4720728,8774006,11856728,4121375,7735353,4857524,1813768,3043756,197608,4.19564e+06,4393243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delhi,2018,India,7,DELHI,16787941,16368899,2018,419042,8987326,"Calendar Year (Jan - Dec), 2018",8761005,226321,7800615,7607894,192721,3435999,3356425,79574,115407,35620.1,151027.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
