srcStateName,srcYear,"Patients attended  Non-communicable diseases ( NCDs ) Clinics Diseases that cannot be directly transmitted from man to man, animal to animal or from the environment (through air, dust, soil, water, food etc) to man or animal are deemed as non-communicable diseases",Patients diagnosed with Diabetes,Patients diagnosed with Hypertension,Patients diagnosed with Hypertension and Diabetes Mellitus( Htnand DM ),Patients diagnosed with Cardiovascular diseases ( CVDs ),Patients diagnosed with Stroke,Patients diagnosed with common Cancers,YearCode,Year
Telangana,2020,681268,34063,81739,27251,,5270,1091,2020,"Calendar Year (Jan - Dec), 2020"
Tamil Nadu,2020,7710801,160596,290286,62834,15719,9277,1702,2020,"Calendar Year (Jan - Dec), 2020"
Sikkim,2020,41657,1009,1953,386,22,40,5,2020,"Calendar Year (Jan - Dec), 2020"
Rajasthan,2020,8803544,231635,436600,82580,10666,1043,2586,2020,"Calendar Year (Jan - Dec), 2020"
Punjab,2020,1155668,135274,181582,69177,7992,780,4764,2020,"Calendar Year (Jan - Dec), 2020"
Odisha,2020,865820,161448,204237,52124,8477,1824,3408,2020,"Calendar Year (Jan - Dec), 2020"
Nagaland,2020,32994,1397,4297,473,326,111,116,2020,"Calendar Year (Jan - Dec), 2020"
Mizoram,2020,110966,4721,8422,2415,48,85,173,2020,"Calendar Year (Jan - Dec), 2020"
Meghalaya,2020,73380,3193,6719,1072,72,156,493,2020,"Calendar Year (Jan - Dec), 2020"
Manipur,2020,76412,5500,7060,1246,236,115,121,2020,"Calendar Year (Jan - Dec), 2020"
Maharashtra,2020,4587621,138143,182070,55988,7534,2696,4587,2020,"Calendar Year (Jan - Dec), 2020"
Madhya Pradesh,2020,1931418,244059,243902,192975,25310,7582,15923,2020,"Calendar Year (Jan - Dec), 2020"
Kerala,2020,4166477,50485,86238,30207,3224,1481,3244,2020,"Calendar Year (Jan - Dec), 2020"
Karnataka,2020,2321114,55544,57599,20285,6995,2542,3243,2020,"Calendar Year (Jan - Dec), 2020"
Jharkhand,2020,445736,49047,44345,8521,828,568,1235,2020,"Calendar Year (Jan - Dec), 2020"
Himachal Pradesh,2020,316308,18169,37131,4212,315,184,5089,2020,"Calendar Year (Jan - Dec), 2020"
Haryana,2020,1007952,86322,96473,38303,5381,2434,1413,2020,"Calendar Year (Jan - Dec), 2020"
Gujarat,2020,3229049,225278,151062,53828,16052,7624,3605,2020,"Calendar Year (Jan - Dec), 2020"
Goa,2020,349950,6116,5731,7078,1515,2037,24,2020,"Calendar Year (Jan - Dec), 2020"
Chhattisgarh,2020,1286416,113311,125527,31371,1207,1211,864,2020,"Calendar Year (Jan - Dec), 2020"
Bihar,2020,203996,82290,51119,16256,463,181,2065,2020,"Calendar Year (Jan - Dec), 2020"
Assam,2020,97370,19840,27799,6289,1071,955,109,2020,"Calendar Year (Jan - Dec), 2020"
Arunachal Pradesh,2020,176375,5831,11351,1410,140,416,715,2020,"Calendar Year (Jan - Dec), 2020"
