index,2,73,74,39,4,33,34,35,22,19,80,81,97,IMR,Total District Hospitals,Life Expectancy
0,South Andamans,85.9,88.1,89.8,43.2,21.1,17.4,12.6,81.7,79.0,89.3,97.9,86.7,19.02777778,3,70.43913043
1,Nicobars,71.7,85.1,92.5,48.0,21.6,24.6,15.7,67.3,69.1,83.5,98.8,87.5,19.02777778,3,70.43913043
2,North And Middle Andaman,79.2,92.5,94.3,47.8,27.0,42.8,27.0,0.0,0.0,86.4,92.2,84.0,19.02777778,3,70.43913043
3,Guntur,62.5,94.0,97.2,54.6,23.8,26.9,17.8,92.5,76.2,83.4,99.3,68.5,24.0,14,70.0
4,Spsr Nellore,73.0,95.5,94.3,68.6,29.2,27.8,17.2,81.1,69.4,81.8,95.6,70.5,24.0,14,70.0
5,Kurnool,74.3,87.8,87.3,61.1,50.5,46.3,16.7,84.1,69.0,73.5,97.9,57.0,24.0,14,70.0
6,West Godavari,62.7,94.8,96.4,66.8,31.4,22.5,11.7,91.7,80.0,80.8,99.1,77.0,24.0,14,70.0
7,Krishna,73.3,88.3,90.3,59.0,29.8,21.1,14.3,90.0,90.0,79.1,94.4,76.9,24.0,14,70.0
8,Chittoor,65.3,93.8,95.2,43.9,27.1,27.9,14.8,89.6,69.1,74.6,98.5,69.3,24.0,14,70.0
9,Visakhapatanam,58.6,84.8,90.9,58.9,31.0,33.5,21.5,95.1,76.5,77.8,91.8,69.5,24.0,14,70.0
10,Anantapur,66.6,89.1,87.3,50.0,36.0,40.6,19.3,92.9,81.8,71.3,98.8,63.6,24.0,14,70.0
11,Srikakulam,78.4,90.8,97.7,59.2,19.7,21.4,19.5,93.3,82.8,71.6,87.7,64.3,24.0,14,70.0
12,Y.S.R.,82.8,92.3,91.3,60.2,34.4,26.7,14.1,88.7,84.9,85.4,99.9,63.8,24.0,14,70.0
13,Vizianagaram,71.4,83.9,89.2,73.9,36.4,32.2,19.2,92.5,76.8,61.7,93.1,58.3,24.0,14,70.0
14,Prakasam,73.4,90.1,90.3,64.8,22.6,24.7,8.7,65.3,55.0,78.4,98.6,62.8,24.0,14,70.0
15,East Godavari,51.0,91.9,93.5,65.2,23.1,22.4,14.3,76.7,66.3,77.7,97.9,77.9,24.0,14,70.0
16,Leparada,31.173,59.263,58.814,37.837,30.133,17.574,13.772,85.547,65.239,84.586,97.085,69.825,21.0,17,70.43913043
17,Lower Siang,32.156,58.834,59.798,38.366,24.545,13.57,12.203,84.505,58.169,86.006,98.298,78.711,21.0,17,70.43913043
18,Dibang Valley,40.4,66.2,58.3,67.7,16.9,16.0,18.1,90.7,90.7,95.0,100.0,76.6,21.0,17,70.43913043
19,Anjaw,32.3,55.8,57.3,42.2,23.6,16.0,14.3,97.6,97.6,86.8,86.6,66.4,21.0,17,70.43913043
20,Kra Daadi,18.3,34.9,37.3,37.2,28.8,14.5,9.4,77.1,63.6,89.3,99.8,53.5,21.0,17,70.43913043
21,Lohit,39.6,66.2,66.2,51.5,24.5,12.9,12.7,87.6,80.4,83.7,96.9,70.9,21.0,17,70.43913043
22,Changlang,46.9,69.7,67.4,67.1,26.3,25.0,16.3,84.4,70.9,82.3,81.8,74.0,21.0,17,70.43913043
23,Kurung Kumey,44.1,62.3,61.1,42.2,29.2,13.9,15.1,89.5,71.4,78.3,99.8,76.0,21.0,17,70.43913043
24,East Kameng,29.1,53.6,54.6,39.5,35.7,14.2,15.8,77.8,71.9,75.6,93.6,59.1,21.0,17,70.43913043
25,Kamle,36.902,64.246,62.783,53.057,32.583,11.527,11.716,78.908,75.368,82.213,97.05,69.914,21.0,17,70.43913043
26,West Kameng,27.6,38.9,33.8,50.9,24.2,13.4,23.2,65.8,63.0,88.9,99.8,71.1,21.0,17,70.43913043
27,Lower Dibang Valley,48.6,58.6,58.4,39.4,14.3,9.7,7.6,84.4,77.8,89.9,99.5,80.0,21.0,17,70.43913043
28,East Siang,34.3,55.7,58.8,40.4,24.6,10.3,8.6,81.9,59.0,83.9,97.3,81.9,21.0,17,70.43913043
29,Longding,39.6,57.1,55.5,37.7,15.8,13.8,20.6,61.5,52.7,83.5,62.5,70.2,21.0,17,70.43913043
30,Shi Yomi,30.4,61.4,60.6,36.7,24.5,16.2,15.1,86.6,57.5,87.7,99.1,76.1,21.0,17,70.43913043
31,Lower Subansiri,39.1,67.7,65.5,59.4,30.7,8.1,11.5,76.5,75.8,82.8,98.1,73.4,21.0,17,70.43913043
32,Namsai,35.4,51.2,52.0,58.5,28.7,17.7,12.4,79.3,70.9,75.1,93.5,62.6,21.0,17,70.43913043
33,Upper Subansiri,32.1,56.7,56.7,39.2,36.8,19.2,12.2,84.3,74.4,80.9,94.7,62.3,21.0,17,70.43913043
34,Pakke Kessang,29.1,53.6,54.6,39.5,35.7,14.2,15.8,77.8,71.9,75.6,93.6,59.1,21.0,17,70.43913043
35,Siang,31.1,56.0,55.4,23.4,21.3,8.8,12.1,77.5,60.3,91.2,96.3,85.3,21.0,17,70.43913043
36,Papum Pare,39.3,53.2,58.1,44.4,29.7,15.6,9.0,77.3,63.9,75.7,92.9,77.0,21.0,17,70.43913043
37,West Siang,30.4,61.4,60.6,36.7,24.5,16.2,15.1,86.6,57.5,87.7,99.1,76.1,21.0,17,70.43913043
38,Tirap,35.7,49.8,51.6,53.0,38.6,16.0,13.8,77.9,72.1,86.7,93.8,72.8,21.0,17,70.43913043
39,Tawang,37.6,49.6,48.8,76.3,30.4,9.0,7.1,90.8,69.3,81.7,99.8,56.6,21.0,17,70.43913043
40,Upper Siang,34.0,56.4,52.9,27.2,30.4,12.0,12.5,70.0,64.5,91.8,99.8,70.9,21.0,17,70.43913043
41,Kamrup,46.9,61.4,67.0,72.5,22.6,19.7,14.8,83.0,70.1,68.7,92.1,79.6,36.0,25,66.9
42,Baksa,56.0,65.0,70.9,76.6,41.2,34.0,17.0,91.9,78.3,68.9,89.8,74.8,36.0,25,66.9
43,Dima Hasao,46.9,73.8,76.8,70.9,30.6,21.7,23.6,71.7,73.6,83.8,50.2,87.7,36.0,25,66.9
44,Nalbari,55.9,73.8,73.2,66.8,27.5,26.7,15.4,87.7,73.4,68.1,99.5,83.9,36.0,25,66.9
45,Kamrup Metro,68.9,75.6,79.9,80.6,25.4,25.0,18.2,74.7,59.1,65.2,87.2,86.0,36.0,25,66.9
46,Dhemaji,62.2,72.8,75.4,59.3,37.2,25.7,18.3,93.2,95.3,70.8,95.3,81.5,36.0,25,66.9
47,Bongaigaon,33.9,57.0,63.3,73.8,46.2,35.3,20.2,84.2,74.7,72.5,95.3,75.8,36.0,25,66.9
48,Dibrugarh,75.6,82.1,87.0,64.3,27.3,32.0,20.6,97.8,83.8,75.3,98.1,76.6,36.0,25,66.9
49,Nagaon,59.4,62.0,65.3,65.1,38.9,32.4,19.4,67.3,67.2,66.1,96.1,78.4,36.0,25,66.9
50,Hailakandi,43.1,68.8,70.1,58.1,42.9,42.4,22.2,85.6,77.8,60.0,41.2,82.2,36.0,25,66.9
51,Barpeta,43.6,70.5,73.9,70.7,29.8,26.2,19.5,83.8,67.5,63.7,98.1,74.8,36.0,25,66.9
52,Golaghat,65.7,73.5,83.5,74.7,26.3,25.5,19.2,87.5,79.7,73.1,93.7,75.1,36.0,25,66.9
53,Chirang,56.5,59.7,63.0,68.8,42.7,39.7,19.5,89.3,77.9,77.1,92.1,71.5,36.0,25,66.9
54,Hojai,51.3,63.9,68.4,54.3,39.3,28.4,12.7,59.3,60.9,63.1,99.9,83.2,36.0,25,66.9
55,Majuli,72.2,73.5,73.5,65.5,35.4,22.2,14.1,90.9,84.3,65.6,98.6,83.4,36.0,25,66.9
56,Karimganj,42.8,63.9,70.2,60.6,29.1,52.9,48.0,85.5,84.2,61.5,62.3,80.7,36.0,25,66.9
57,Karbi Anglong,63.9,56.9,61.0,57.5,31.6,28.2,17.2,76.2,65.9,75.2,79.6,78.8,36.0,25,66.9
58,Sivasagar,80.9,73.8,83.4,67.2,26.1,25.9,21.1,90.5,81.9,82.3,92.7,86.6,36.0,25,66.9
59,Biswanath,46.5,56.5,58.1,67.8,42.7,41.0,27.1,87.2,69.2,76.6,76.2,69.2,36.0,25,66.9
60,Udalguri,49.8,53.1,62.9,72.6,33.8,32.5,21.3,75.9,48.6,73.8,82.3,70.0,36.0,25,66.9
61,Darrang,37.5,53.2,66.3,69.9,42.0,33.1,27.0,82.2,68.7,67.9,99.7,75.6,36.0,25,66.9
62,Jorhat,67.0,81.4,85.4,75.1,38.7,33.2,15.5,83.3,79.4,80.4,85.9,85.1,36.0,25,66.9
