index1,index,2,District
0,0,Longding,South Andamans
1,1,South Andaman,Nicobars
2,2,Lower Dibang Valley,North and Middle Andaman
3,3,Spsr Nellore,Guntur
4,4,Kamle,Spsr Nellore
5,5,Lepa Rada,Kurnool
6,6,Visakhapatnam,West Godavari
7,7,Lower Siang,Krishna
8,8,Dibang Valley,Chittoor
9,9,Kurnool,Visakhapatnam
10,10,Guntur,Anantapur
11,11,North and Middle Andaman,Srikakulam
12,12,Krishna,Y.S.R.
13,13,Anjaw,Vizianagaram
14,14,Kra Daadi,Prakasam
15,15,Changlang,East Godavari
16,16,Lohit,Lepa Rada
17,17,East Godavari,Lower Siang
18,18,Anantapur,Dibang Valley
19,19,Kurung Kumey,Anjaw
20,20,Srikakulam,Kra Daadi
21,21,Nicobars,Lohit
22,22,Prakasam,Changlang
23,23,Y.S.R.,Kurung Kumey
24,24,East Siang,East Kameng
25,25,Chittoor,Kamle
26,26,East Kameng,West Kameng
27,27,West Godavari,Lower Dibang Valley
28,28,Barpeta,East Siang
29,29,Dibrugarh,Longding
30,30,Kolkata,Shi Yomi
31,31,Bhadohi,Lower Subansiri
32,32,Tehri Garhwal,Namsai
33,33,Devbhumi Dwarka,Upper Subansiri
34,34,Nabarangapur,Pakke Kessang
35,35,Kottayam,Siang
36,36,Sri Muktsar Sahib,Papum Pare
37,37,Sheopur,West Siang
38,38,East Jaintia Hills,Tirap
39,39,Palwal,Tawang
40,40,Thane,Upper Siang
41,41,Khagaria,Kamrup
42,42,Dakshina Kannada,Baksa
43,43,Belagavi,Dima Hasao
44,44,South Tripura,Nalbari
45,45,South Garo Hills,Kamrup Metro
46,46,Paschim Bardhaman,Dhemaji
47,47,Nalanda,Bongaigaon
48,48,Kullu,Dibrugarh
49,49,Rampur,Nagaon
50,50,Jhajjar,Hailakandi
51,51,Dimapur,Barpeta
52,52,Rajsamand,Golaghat
53,53,Kanniyakumari,Chirang
54,54,Sabar Kantha,Hojai
55,55,Majuli,Majuli
56,56,Purbi Singhbum,Karimganj
57,57,Chamoli,Karbi Anglong
58,58,Hathras,Sivasagar
59,59,Nalbari,Biswanath
60,60,Bharatpur,Udalguri
61,61,Mahisagar,Darrang
62,62,Hamirpur,Jorhat
63,63,Basti,West Karbi Anglong
64,64,Washim,Dhubri
65,65,Bidar,Cachar
66,66,Bhopal,Charaideo
67,67,Jogulamba Gadwal,Goalpara
68,68,Ranipet,Tinsukia
69,69,Bara Banki,Kokrajhar
70,70,Jaipur,Sonitpur
71,71,Kangpokpi,South Salmara Mancachar
72,72,Kozhikode,Lakhimpur
73,73,Kiphire,Marigaon
74,74,Ribhoi,Samastipur
75,75,Pathanamthitta,Kaimur (Bhabua)
76,76,Rajanna Sircilla,Madhubani
77,77,Jangoan,Arwal
78,78,Narmada,Darbhanga
79,79,Darrang,Patna
80,80,Mancherial,Lakhisarai
81,81,Banas Kantha,Vaishali
82,82,East District,Khagaria
83,83,Udaipur,Bhojpur
84,84,Kalahandi,Sheohar
85,85,Rajouri,Sheikhpura
86,86,Lawngtlai,Madhepura
87,87,Mandla,Pashchim Champaran
88,88,Thanjavur,Nalanda
89,89,Nashik,Saharsa
90,90,Jodhpur,Bhagalpur
91,91,Balrampur,Siwan
92,92,Peren,Begusarai
93,93,Sangli,Gaya
94,94,Coimbatore,Araria
95,95,Kaithal,Jamui
96,96,Kurukshetra,Muzaffarpur
97,97,Hassan,Supaul
98,98,West Khasi Hills,Buxar
99,99,Sangrur,Nawada
100,100,Bargarh,Kishanganj
101,101,Chamarajanagara,Munger
102,102,Thiruvallur,Saran
103,103,Salem,Jehanabad
104,104,Kohima,Gopalganj
105,105,Kalaburagi,Sitamarhi
106,106,Ghazipur,Rohtas
107,107,Unnao,Katihar
108,108,Purba Bardhaman,Purbi Champaran
109,109,Chandauli,Purnia
110,110,Darjeeling,Banka
111,111,Dima Hasao,Aurangabad
112,112,Lahul and Spiti,Balrampur
113,113,Dholpur,Jashpur
114,114,Bandipore,Baloda Bazar
115,115,Dhule,Bemetara
116,116,Udham Singh Nagar,Janjgir-Champa
117,117,Sivaganga,Narayanpur
118,118,Kendrapara,Bastar
119,119,Surat,Balod
120,120,Anugul,Dhamtari
121,121,Malappuram,Mungeli
122,122,Darbhanga,Gaurella Pendra Marwahi
123,123,Pilibhit,Gariyaband
124,124,Tikamgarh,Korea
125,125,East Delhi,Raipur
126,126,Deoghar,Durg
127,127,Seoni,Korba
128,128,Wokha,Kabirdham
129,129,Jalor,Surajpur
130,130,Patiala,Bijapur
131,131,Pali,Kondagaon
132,132,Nuapada,Dantewada
133,133,Surajpur,Bilaspur
134,134,Noklak,Rajnandgaon
135,135,Chikkaballapura,Mahasamund
136,136,Bijapur,Kanker
137,137,Vizianagaram,Raigarh
138,138,Kanpur Nagar,Surguja
139,139,Anantnag,Sukma
140,140,Theni,Central
141,141,Solapur,East
142,142,Datia,South
143,143,Agar Malwa,North West
144,144,Budaun,South East
145,145,Beed,North
146,146,Dhubri,North East
147,147,Banda,West
148,148,Dang,New Delhi
149,149,Bankura,Shahdara
150,150,Sirsa,South West
151,151,Kolasib,North Goa
152,152,Ganganagar,South Goa
153,153,Kancheepuram,Navsari
154,154,Ambala,Valsad
155,155,Krishnagiri,Ahmadabad
156,156,Gandhinagar,Gir Somnath
157,157,Ranchi,Rajkot
158,158,North Garo Hills,Botad
159,159,Sivasagar,Surendranagar
160,160,Jalna,Amreli
161,161,Mahabubabad,Surat
162,162,Rohtas,Morbi
163,163,Burhanpur,Gandhinagar
164,164,Bilaspur,Dang
165,165,Wardha,Sabar Kantha
166,166,Gwalior,Jamnagar
167,167,Yadadri Bhuvanagiri,Banas Kantha
168,168,Mahrajganj,Mahisagar
169,169,Cooch Behar,Porbandar
170,170,Ballari,Arvalli
171,171,Faridabad,Anand
172,172,Barnala,Patan
173,173,Lakhimpur,Devbhumi Dwarka
174,174,South Salmara Mancachar,Kachchh
175,175,Sonbhadra,Kheda
176,176,Pudukkottai,Bhavnagar
177,177,Sambhal,Tapi
178,178,Gopalganj,Chhotaudepur
179,179,Namsai,Mahesana
180,180,Siang,Vadodara
181,181,Jagatsinghapur,Dohad
182,182,Bijnor,Narmada
183,183,Simdega,Panch Mahals
184,184,Ajmer,Junagadh
185,185,Longleng,Bharuch
186,186,Dohad,Rewari
187,187,Diu,Fatehabad
188,188,Ramban,Hisar
189,189,Vikarabad,Rohtak
190,190,Kumuram Bheem Asifabad,Gurugram
191,191,Palakkad,Jhajjar
192,192,Sonipat,Nuh
193,193,Central Delhi,Jind
194,194,Kheri,Sirsa
195,195,Baramula,Yamunanagar
196,196,Jalpaiguri,Sonipat
197,197,Sidhi,Panchkula
198,198,Imphal East,Mahendragarh
199,199,Moga,Kurukshetra
200,200,Kollam,Bhiwani
201,201,Hyderabad,Ambala
202,202,Kishanganj,Karnal
203,203,Neemuch,Faridabad
204,204,Jhansi,Kaithal
205,205,Siddharthnagar,Palwal
206,206,Gautam Buddha Nagar,Charki Dadri
207,207,Kodarma,Panipat
208,208,South District,Shimla
209,209,Sonitpur,Mandi
210,210,Mysuru,Lahul And Spiti
211,211,Sultanpur,Bilaspur
212,212,Birbhum,Hamirpur
213,213,Sundargarh,Kangra
214,214,Nayagarh,Una
215,215,Rudraprayag,Chamba
216,216,Koriya,Sirmaur
217,217,Sangareddy,Solan
218,218,Karimnagar,Kinnaur
219,219,Bastar,Kullu
220,220,Mungeli,Kupwara
221,221,Nawada,Doda
222,222,Lohardaga,Shopian
223,223,Gariaband,Anantnag
224,224,Vijayapura,Samba
225,225,Jhargram,Srinagar
226,226,Tapi,Budgam
227,227,Kanpur Dehat,Reasi
228,228,Dausa,Ganderbal
