srcStateName,srcYear,Percentage of Infant Mortality Rate (IMR),YearCode,Year
Puducherry,2019,9,2019,"Calendar Year (Jan - Dec), 2019"
Lakshadweep,2019,8,2019,"Calendar Year (Jan - Dec), 2019"
Delhi,2019,11,2019,"Calendar Year (Jan - Dec), 2019"
Daman & Diu,2019,17,2019,"Calendar Year (Jan - Dec), 2019"
Dadra & Nagar Haveli,2019,11,2019,"Calendar Year (Jan - Dec), 2019"
Chandigarh,2019,13,2019,"Calendar Year (Jan - Dec), 2019"
Andaman & Nicobar Islands,2019,7,2019,"Calendar Year (Jan - Dec), 2019"
West Bengal,2019,20,2019,"Calendar Year (Jan - Dec), 2019"
Uttar Pradesh,2019,41,2019,"Calendar Year (Jan - Dec), 2019"
Uttarakhand,2019,27,2019,"Calendar Year (Jan - Dec), 2019"
Tripura,2019,21,2019,"Calendar Year (Jan - Dec), 2019"
Telangana,2019,23,2019,"Calendar Year (Jan - Dec), 2019"
Tamil Nadu,2019,15,2019,"Calendar Year (Jan - Dec), 2019"
Sikkim,2019,5,2019,"Calendar Year (Jan - Dec), 2019"
Rajasthan,2019,35,2019,"Calendar Year (Jan - Dec), 2019"
Punjab,2019,19,2019,"Calendar Year (Jan - Dec), 2019"
Odisha,2019,38,2019,"Calendar Year (Jan - Dec), 2019"
Nagaland,2019,3,2019,"Calendar Year (Jan - Dec), 2019"
Mizoram,2019,3,2019,"Calendar Year (Jan - Dec), 2019"
Meghalaya,2019,33,2019,"Calendar Year (Jan - Dec), 2019"
Manipur,2019,10,2019,"Calendar Year (Jan - Dec), 2019"
Maharashtra,2019,17,2019,"Calendar Year (Jan - Dec), 2019"
Madhya Pradesh,2019,46,2019,"Calendar Year (Jan - Dec), 2019"
Kerala,2019,6,2019,"Calendar Year (Jan - Dec), 2019"
Karnataka,2019,21,2019,"Calendar Year (Jan - Dec), 2019"
Jharkhand,2019,27,2019,"Calendar Year (Jan - Dec), 2019"
Jammu & Kashmir and Ladakh,2019,20,2019,"Calendar Year (Jan - Dec), 2019"
Himachal Pradesh,2019,19,2019,"Calendar Year (Jan - Dec), 2019"
Haryana,2019,27,2019,"Calendar Year (Jan - Dec), 2019"
Gujarat,2019,25,2019,"Calendar Year (Jan - Dec), 2019"
Goa,2019,8,2019,"Calendar Year (Jan - Dec), 2019"
Chhattisgarh,2019,40,2019,"Calendar Year (Jan - Dec), 2019"
Bihar,2019,29,2019,"Calendar Year (Jan - Dec), 2019"
Assam,2019,40,2019,"Calendar Year (Jan - Dec), 2019"
Arunachal Pradesh,2019,29,2019,"Calendar Year (Jan - Dec), 2019"
Andhra Pradesh,2019,25,2019,"Calendar Year (Jan - Dec), 2019"
