index,2,73,74,39,4,33,34,35,22,19,80,81,97,IMR,Total District Hospitals,Life Expectancy,overall_health_condition
0,Noklak,4.4,29.5,30.2,28.5,37.1,34.2,24.6,53.3,47.6,92.0,90.4,77.8,4.0,11,70.43913043,-0.7768520872073779
1,Tuensang,4.4,29.5,30.2,28.5,37.1,34.2,24.6,53.3,47.6,92.0,90.4,77.8,4.0,11,70.43913043,-0.7768520872073779
2,Kiphire,5.8,31.9,33.5,36.0,36.9,25.0,11.0,66.2,53.1,83.1,90.9,73.7,4.0,11,70.43913043,-0.9724190819319216
3,Phek,9.5,39.6,34.9,41.6,28.0,15.6,12.9,71.8,68.4,90.1,98.1,85.8,4.0,11,70.43913043,-0.8727056730864798
4,Mon,9.7,25.6,22.4,46.0,35.5,23.3,7.8,83.4,72.2,86.4,86.7,78.2,4.0,11,70.43913043,-0.927241960946062
5,Purnia,11.1,41.0,41.5,64.0,43.5,47.1,25.8,79.5,67.7,35.6,99.6,47.5,27.0,36,69.1,-0.6447301031092869
6,Zunheboto,11.2,24.9,24.7,38.0,44.0,44.5,26.9,76.4,67.1,88.9,91.0,87.1,4.0,11,70.43913043,-0.4214561278868132
7,Saharsa,11.7,38.5,40.8,67.9,47.8,42.7,20.5,87.2,74.5,40.5,100.0,43.1,27.0,36,69.1,-0.6529250842314201
8,Peren,14.5,46.9,45.1,29.5,34.9,20.7,9.1,74.2,71.9,89.4,92.5,77.6,4.0,11,70.43913043,-0.7850876578462016
9,Katihar,15.3,41.7,44.3,66.7,43.9,48.1,23.5,83.9,79.1,44.6,99.2,49.7,27.0,36,69.1,-0.4991915327227992
10,Longleng,15.4,28.5,28.5,43.1,34.1,25.7,19.8,73.3,57.5,86.6,76.3,82.0,4.0,11,70.43913043,-0.8074794009096136
11,Kishanganj,17.1,40.7,42.1,62.6,38.8,41.1,23.9,82.0,70.2,52.4,100.0,48.0,27.0,36,69.1,-0.6289623371745008
12,Khagaria,17.4,54.2,52.2,65.1,34.8,36.4,25.3,82.6,73.1,65.0,98.8,51.8,27.0,36,69.1,-0.4791254759970668
13,Jehanabad,17.4,77.7,71.2,72.3,41.3,51.7,36.6,97.2,77.2,45.5,99.8,63.2,27.0,36,69.1,0.0469751605008476
14,Patna,17.9,59.0,63.1,62.8,34.5,39.6,27.5,78.6,67.0,61.0,98.8,67.6,27.0,36,69.1,-0.2925687724199751
15,Mokokchung,18.2,47.4,47.3,21.1,31.4,22.9,11.7,100.0,96.3,96.7,97.4,94.0,4.0,11,70.43913043,-0.4940207635945353
16,Kra Daadi,18.3,34.9,37.3,37.2,28.8,14.5,9.4,77.1,63.6,89.3,99.8,53.5,21.0,17,70.43913043,-1.0142515744823828
17,Unnao,19.8,54.2,60.6,49.6,39.2,29.3,12.1,76.7,63.2,60.3,98.5,64.4,38.0,157,65.3,-0.4281101879965195
18,Sitamarhi,20.3,51.1,57.3,61.4,54.2,40.8,16.2,78.4,70.4,50.7,99.7,51.7,27.0,36,69.1,-0.3835007532182757
19,Madhepura,20.9,49.5,58.9,70.4,46.3,43.5,20.6,86.5,77.7,34.6,99.3,47.6,27.0,36,69.1,-0.485197750157008
20,Begusarai,21.6,58.6,60.9,64.3,37.8,35.6,21.0,81.0,72.9,62.2,99.1,62.3,27.0,36,69.1,-0.350887658638078
21,East Champaran,21.7,43.7,41.8,64.4,49.1,37.9,16.8,77.0,74.1,48.3,99.9,50.2,27.0,36,69.1,-0.5657171870037168
22,Bara Banki,22.6,41.5,42.4,61.1,41.9,31.9,18.1,78.2,74.7,62.4,98.8,56.1,38.0,157,65.3,-0.4302585107064299
23,Samastipur,23.5,52.1,51.5,65.9,44.0,42.8,21.3,89.4,74.6,48.8,98.6,54.3,27.0,36,69.1,-0.3949920651171618
24,North Garo Hills,24.3,40.5,41.8,65.2,35.6,15.8,11.7,58.1,54.7,84.9,51.5,86.1,29.0,11,70.43913043,-0.574391592979
25,Vaishali,24.5,57.4,64.3,69.6,38.3,38.4,19.6,82.3,74.8,52.6,99.2,62.4,27.0,36,69.1,-0.3445318627164249
26,Unakoti,24.6,44.5,46.7,72.9,31.8,32.0,19.3,83.6,63.0,61.8,78.6,76.4,18.0,7,70.43913043,-0.5558891775144252
27,Darbhanga,24.9,50.5,50.9,59.7,45.4,39.2,19.3,81.9,69.0,48.7,99.8,49.4,27.0,36,69.1,-0.5180536425080315
28,Gaya,25.1,72.5,75.4,65.5,47.4,43.5,24.3,92.5,90.7,44.4,99.2,59.4,27.0,36,69.1,-0.0679718363346399
29,Sheohar,25.3,61.1,58.7,64.3,34.4,42.2,35.4,81.3,69.0,57.9,100.0,52.5,27.0,36,69.1,-0.3081395390672389
30,West Champaran,25.4,57.3,64.1,56.3,43.5,30.3,13.2,79.9,74.7,43.3,99.7,52.5,27.0,36,69.1,-0.594021692495843
31,East Garo Hills,25.5,59.9,57.5,55.7,39.7,26.5,20.1,83.3,76.6,83.9,67.0,86.7,29.0,11,70.43913043,-0.1138484935426504
32,Kaimur Bhabhua,25.6,81.6,77.0,70.8,44.1,47.2,27.3,93.5,89.9,59.1,98.0,66.0,27.0,36,69.1,0.1636416680312198
34,Araria,25.8,69.5,67.5,39.7,42.7,26.5,9.1,80.6,69.1,68.8,96.7,69.7,38.0,157,65.3,-0.2309815247979586
33,Bhadohi,25.8,46.4,48.2,64.0,49.9,47.8,23.9,83.0,67.3,32.2,100.0,43.7,27.0,36,69.1,-0.5118661860411907
