index,State,Total District Hospitals,Life Expectancy,IMR,73,74,39,33,34,80,97,overall_health_condition
0,Andaman And Nicobar Islands,3,70.43913043,19.02777778,78.93333333333334,88.56666666666666,92.2,23.23333333333333,28.266666666666666,86.39999999999999,86.06666666666666,-0.34172390818495857
1,Andhra Pradesh,14,70.0,24.0,68.71538461538461,90.54615384615384,92.37692307692308,30.384615384615383,28.76923076923077,76.7,67.64615384615385,-0.06987986806639625
2,Arunachal Pradesh,17,70.43913043,21.0,35.00924,56.733720000000005,56.2758,27.29844,14.21484,84.2762,70.814,-0.5579998551527822
3,Assam,25,66.9,36.0,52.32121212121212,66.0969696969697,70.42727272727272,35.696969696969695,31.609090909090902,70.10909090909091,77.4030303030303,0.1932728160013535
4,Bihar,36,69.1,27.0,25.93684210526316,60.54473684210526,62.3421052631579,42.58947368421053,41.72631578947368,49.47368421052632,57.642105263157895,0.1102844463486328
5,Chhattisgarh,26,65.2,38.0,61.11785714285714,82.425,79.90714285714286,35.31785714285714,33.03214285714286,73.08214285714286,68.175,0.16907313103207927
6,Delhi,47,75.3,19.02777778,79.39999999999999,85.89999999999999,86.7090909090909,30.71818181818181,22.12727272727273,81.0909090909091,83.8,0.17860306027764308
7,Goa,2,70.43913043,5.0,93.65,96.3,96.95,26.25,23.4,87.95,93.1,-0.3924659298157708
8,Gujarat,22,69.9,23.0,77.57878787878788,88.97272727272727,88.01818181818182,38.66060606060606,40.33030303030304,71.73333333333333,74.74848484848485,0.5785284853052965
9,Haryana,22,69.8,28.0,60.57272727272727,91.62727272727273,91.3818181818182,26.55,20.91363636363636,85.02727272727272,79.39999999999999,-0.04955383807857635
10,Himachal Pradesh,12,72.9,17.0,71.78333333333333,85.64999999999999,86.03333333333335,31.55,24.683333333333334,80.90833333333333,90.25,0.2831560018174442
11,Jammu And Kashmir,21,74.0,19.02777778,79.61,82.89500000000001,80.77000000000001,26.15,21.065,73.75,75.045,0.16239859555080635
12,Jharkhand,23,69.1,25.0,38.80833333333333,69.35416666666667,68.57083333333334,40.1875,40.4,55.3125,59.74166666666667,0.09932847878195836
13,Karnataka,15,69.4,19.0,72.58333333333333,88.19666666666667,86.27333333333333,34.580000000000005,31.296666666666667,74.59666666666666,75.83,0.151455804466148
14,Kerala,18,75.3,6.0,78.03571428571429,93.0,91.25714285714284,23.27857142857143,19.37142857142857,98.6,97.87857142857142,-0.12699157956984752
15,Ladakh,2,74.0,16.0,78.8,79.55,76.65,30.4,20.4,42.35,76.80000000000001,0.0005013860268948522
16,Madhya Pradesh,51,66.5,43.0,57.97058823529412,83.80392156862744,83.80588235294118,35.19803921568627,33.19019607843137,64.00196078431372,64.07254901960783,0.15374379082000145
17,Maharashtra,23,72.5,16.0,70.87965714285714,85.96534285714286,88.09022857142857,35.17857142857143,36.71297142857143,71.95762857142857,82.51251428571429,0.44984652337680364
18,Manipur,9,70.43913043,6.0,68.806875,61.7275,58.814,25.7535,14.1191875,73.311,84.48375,-0.8187314340045071
19,Meghalaya,11,70.43913043,29.0,46.10909090909091,48.5,47.28181818181818,42.98181818181818,25.43636363636364,83.38181818181819,85.95454545454545,0.2014664576516813
20,Mizoram,9,70.43913043,3.0,56.55963636363636,68.36336363636363,39.902545454545454,29.43772727272728,13.13781818181818,95.49581818181818,93.90818181818182,-0.36793125441406427
21,Nagaland,11,70.43913043,4.0,17.181916666666666,40.174416666666666,38.54108333333333,33.49166666666667,27.16616666666667,88.51708333333333,83.95058333333333,-0.3576101413416206
22,Odisha,32,69.3,36.0,79.91000000000001,88.53,88.51333333333334,31.65333333333333,30.246666666666663,59.65,67.79,0.20278295526950518
23,Puducherry,5,70.43913043,6.0,85.025,95.25,95.8,28.925,21.025,88.19999999999999,90.175,-0.013788606855105578
24,Punjab,22,72.7,18.0,57.97826086956522,86.7304347826087,85.69130434782609,25.3,17.678260869565218,86.76086956521739,79.02173913043478,-0.16030852207931834
25,Rajasthan,27,68.7,32.0,56.72727272727273,85.9060606060606,87.3090909090909,31.74242424242424,28.4,68.57575757575758,62.91818181818182,-0.03688864195340999
26,Sikkim,4,70.43913043,5.0,64.525,70.94999999999999,70.025,24.9,13.7,87.35,86.925,-0.5795617924954812
27,Tamil Nadu,31,72.1,13.0,90.44007894736842,93.05513157894735,94.46886842105263,25.661894736842108,22.058815789473684,71.50471052631579,83.54476315789474,-0.023152156236584787
28,Telangana,6,69.6,21.0,69.85757575757576,87.43030303030302,89.33636363636363,33.44242424242424,32.89393939393939,74.3090909090909,63.8,0.12574673134225642
29,The Dadra And Nagar Haveli And Daman And Diu,3,70.43913043,19.02777778,84.03333333333335,91.56666666666666,90.86666666666667,35.43333333333333,33.300000000000004,73.3,83.16666666666667,0.44367520510554
30,Tripura,7,70.43913043,18.0,49.775,68.4125,69.4,32.9625,26.1625,71.6125,79.3625,-0.030123613557936975
31,Uttar Pradesh,157,65.3,38.0,42.036,72.17866666666666,70.46933333333332,39.63466666666667,32.31733333333334,68.98400000000001,65.34266666666666,0.2499920974755577
32,Uttarakhand,18,70.9,24.0,59.715384615384615,77.20769230769231,78.0,27.29230769230769,19.161538461538463,82.30000000000001,82.53846153846153,-0.15265385645387525
33,West Bengal,23,71.6,19.0,75.20434782608696,69.24347826086957,78.01304347826087,32.952173913043474,32.65217391304348,67.69565217391305,74.71304347826087,0.3255090316106267
