Output Feature,Input Features
4,[77]
5,[83]
6,"[75, 90, 91]"
7,"[46, 51, 59, 74, 79, 90, 91]"
8,[100]
9,"[46, 53, 59, 70, 72, 73, 74, 79]"
10,"[11, 59, 63, 66, 73, 79, 95, 98, 101, 103, 104, 105]"
11,[10]
12,"[63, 73, 79, 95, 98, 101, 103, 104, 105]"
13,[79]
14,[89]
15,"[18, 19, 21, 22, 25]"
16,"[18, 19, 21, 22, 24]"
17,"[18, 19, 21, 22, 24, 25]"
18,"[17, 19, 21, 22, 24, 25]"
19,"[17, 18, 21, 22, 24, 25]"
21,"[17, 18, 19, 22, 24]"
22,"[17, 18, 19, 21, 24, 25]"
24,"[18, 19, 21, 22]"
25,"[18, 19, 22]"
27,[77]
32,[]
33,"[79, 97, 98, 100, 101]"
34,"[96, 97, 98, 100, 101]"
35,[]
37,"[13, 46, 59, 70, 71, 74, 79]"
39,"[37, 46, 51, 53, 59, 63, 70, 71, 72, 73, 74, 75, 79, 91]"
40,[84]
41,[84]
42,[]
45,[52]
46,"[53, 59, 70, 71, 72, 73, 74, 82]"
47,[48]
48,[47]
50,"[100, 101]"
51,"[74, 78]"
52,[45]
53,"[46, 59, 73, 74, 79]"
54,"[59, 63, 79, 95, 98, 101]"
59,"[37, 46, 53, 54, 70, 71, 72, 73, 74, 79]"
62,[92]
63,"[54, 71, 74, 79, 93, 95, 98, 101, 104]"
64,[103]
65,"[103, 104]"
66,"[98, 103, 104]"
67,"[98, 106, 107]"
68,"[105, 106, 107]"
69,"[105, 106, 107]"
70,"[39, 46, 59, 72, 73, 74, 79, 103, 104]"
71,"[46, 59, 63, 66, 70, 72, 73, 74, 79, 98, 103, 104]"
72,"[46, 59, 70, 71, 73, 74]"
73,"[12, 13, 39, 46, 53, 59, 70, 71, 72, 74, 79]"
74,"[46, 51, 53, 59, 63, 70, 71, 72, 73, 79]"
75,[]
77,"[27, 83]"
78,[51]
79,"[12, 13, 53, 54, 59, 63, 70, 71, 73, 74, 82, 97, 98, 101, 105]"
80,"[50, 96, 100, 101]"
82,[]
83,[]
84,[]
89,[14]
90,[91]
91,"[39, 90]"
92,[62]
93,[63]
94,[96]
95,"[54, 63, 79, 80, 97, 98, 100, 101]"
96,"[94, 97, 101]"
97,"[50, 79, 95, 96, 98, 100, 101]"
98,"[54, 63, 66, 67, 71, 79, 95, 97, 100, 101, 103, 104]"
100,"[8, 50, 95, 97, 98, 101]"
101,"[50, 54, 63, 79, 95, 96, 97, 98, 100, 105]"
102,"[66, 103, 104]"
103,"[66, 70, 98, 102, 104]"
104,"[63, 70, 98, 102, 103]"
105,"[69, 79, 98, 101, 106, 107]"
106,"[69, 105, 107]"
107,"[69, 105, 106]"
