Output Feature,Model,RMSE,R2 Score
6,Linear Regression,0.2658049359647381,0.062044971895187095
6,Ridge Regression,0.2778677232696989,-0.025019525342800275
6,Lasso Regression,0.2745076143458787,-0.00037936276763872456
6,Random Forest,0.3157417994575615,-0.32348825744141707
6,Support Vector Regressor (SVR),0.28473304158003016,-0.07629585479826329
7,Linear Regression,0.31137770137096504,-0.3301526477123957
7,Ridge Regression,0.287101768288493,-0.130832291235778
7,Lasso Regression,0.2701776917071079,-0.0014411674565459887
7,Random Forest,0.278635400778289,-0.0651212579940521
7,Support Vector Regressor (SVR),0.32757331737019546,-0.47212098781995904
8,Linear Regression,0.2649987016241668,-0.0532718304611175
8,Ridge Regression,0.2640708005252561,-0.04590861695265658
8,Lasso Regression,0.26197018711692904,-0.02933494666674763
8,Random Forest,0.31058405893720387,-0.4468093265975217
8,Support Vector Regressor (SVR),0.2672266808341537,-0.07105706897309338
9,Linear Regression,0.33694835489288627,-0.3431407299597704
9,Ridge Regression,0.30217083636760683,-0.08018945094135876
9,Lasso Regression,0.29185386248405204,-0.007687169574147834
9,Random Forest,0.30252110435473384,-0.08269515320550047
9,Support Vector Regressor (SVR),0.3246948611216762,-0.24722747345680673
10,Linear Regression,0.5114997412248546,-1.7461165336448592
10,Ridge Regression,0.34572221359311595,-0.2545347522533137
10,Lasso Regression,0.3118951717343625,-0.021046285583103286
10,Random Forest,0.33262332451650556,-0.16127085415231024
10,Support Vector Regressor (SVR),0.3476411715004007,-0.2685001876010755
27,Linear Regression,0.3140566668570369,-0.05980286926928313
27,Ridge Regression,0.3090932500945614,-0.02656889025722009
27,Lasso Regression,0.3073026514581979,-0.014709371985339281
27,Random Forest,0.3680096010620109,-0.455215644815292
27,Support Vector Regressor (SVR),0.31750525840871835,-0.08320561190507769
33,Linear Regression,0.35689656300740996,-0.25697372201030255
33,Ridge Regression,0.3310667730748914,-0.08161489359316576
33,Lasso Regression,0.325363732651173,-0.04467150972077638
33,Random Forest,0.3584701758044745,-0.2680825460987353
33,Support Vector Regressor (SVR),0.3664019964800215,-0.32482077589077507
34,Linear Regression,0.3448977033216342,-0.5465927343233343
34,Ridge Regression,0.3008319896987682,-0.17663941711217768
34,Lasso Regression,0.29230114797622875,-0.11085251541034302
34,Random Forest,0.3166430348395531,-0.3035726482786101
34,Support Vector Regressor (SVR),0.34656790944345706,-0.5616081036584635
37,Linear Regression,0.33525543634188515,-0.23804826254333977
37,Ridge Regression,0.30409671677272737,-0.018613387406378967
37,Lasso Regression,0.30629684206941904,-0.0334059451699098
37,Random Forest,0.29603819210213844,0.034657550936332826
37,Support Vector Regressor (SVR),0.30170257304151743,-0.0026375034757610827
39,Linear Regression,0.4373972216109603,-1.438856431283852
39,Ridge Regression,0.3087814849885754,-0.21544888135037432
39,Lasso Regression,0.280314763919652,-0.0016733972419267218
39,Random Forest,0.303605209085666,-0.17503995069046585
39,Support Vector Regressor (SVR),0.3107525384954872,-0.23101562491205563
45,Linear Regression,0.27561016289287965,-0.02187433438687547
45,Ridge Regression,0.27590242509364443,-0.024042713002195626
45,Lasso Regression,0.2733183569644335,-0.004950425841722117
45,Random Forest,0.30806661309294303,-0.2767218875092139
45,Support Vector Regressor (SVR),0.2885664828589241,-0.12020835690219234
46,Linear Regression,0.3774243347949151,-0.5148664490661508
46,Ridge Regression,0.32404246103922335,-0.11665340423855919
46,Lasso Regression,0.30739472409863244,-0.004864188593111773
46,Random Forest,0.3183315316185102,-0.07764040915221226
46,Support Vector Regressor (SVR),0.3464107940164045,-0.276137240285643
50,Linear Regression,0.30289747335027584,-0.0051678040897189526
50,Ridge Regression,0.30299568494905055,-0.005819741792274291
50,Lasso Regression,0.3024747683870017,-0.0023642617535626353
50,Random Forest,0.40103619791725414,-0.7620345374301989
50,Support Vector Regressor (SVR),0.3257131851894865,-0.16229922286417597
51,Linear Regression,0.2655368832418488,0.0635100835545318
51,Ridge Regression,0.266264199428558,0.05837289070987217
51,Lasso Regression,0.27597256877342274,-0.011545053782699322
51,Random Forest,0.296805291397798,-0.17002913735892977
51,Support Vector Regressor (SVR),0.2581680294364178,0.11476552603017276
54,Linear Regression,0.29387866960327774,-0.14088072014786568
