index,1,73,74,39,4,33,34,35,22,19,80,81,97
0,Arunachal Pradesh,39.6,57.1,55.5,37.7,15.8,13.8,20.6,61.5,52.7,83.5,62.5,70.2
1,Andaman And Nicobar Islands,85.9,88.1,89.8,43.2,21.1,17.4,12.6,81.7,79.0,89.3,97.9,86.7
2,Arunachal Pradesh,48.6,58.6,58.4,39.4,14.3,9.7,7.6,84.4,77.8,89.9,99.5,80.0
3,Andhra Pradesh,73.0,95.5,94.3,68.6,29.2,27.8,17.2,81.1,69.4,81.8,95.6,70.5
4,Arunachal Pradesh,36.902,64.246,62.783,53.057,32.583,11.527,11.716,78.908,75.368,82.213,97.05,69.914
5,Arunachal Pradesh,31.173,59.263,58.814,37.837,30.133,17.574,13.772,85.547,65.239,84.586,97.085,69.825
6,Andhra Pradesh,58.6,84.8,90.9,58.9,31.0,33.5,21.5,95.1,76.5,77.8,91.8,69.5
7,Arunachal Pradesh,32.156,58.834,59.798,38.366,24.545,13.57,12.203,84.505,58.169,86.006,98.298,78.711
8,Arunachal Pradesh,40.4,66.2,58.3,67.7,16.9,16.0,18.1,90.7,90.7,95.0,100.0,76.6
9,Andhra Pradesh,74.3,87.8,87.3,61.1,50.5,46.3,16.7,84.1,69.0,73.5,97.9,57.0
10,Andhra Pradesh,62.5,94.0,97.2,54.6,23.8,26.9,17.8,92.5,76.2,83.4,99.3,68.5
11,Andaman And Nicobar Islands,79.2,92.5,94.3,47.8,27.0,42.8,27.0,0.0,0.0,86.4,92.2,84.0
12,Andhra Pradesh,73.3,88.3,90.3,59.0,29.8,21.1,14.3,90.0,90.0,79.1,94.4,76.9
13,Arunachal Pradesh,32.3,55.8,57.3,42.2,23.6,16.0,14.3,97.6,97.6,86.8,86.6,66.4
14,Arunachal Pradesh,18.3,34.9,37.3,37.2,28.8,14.5,9.4,77.1,63.6,89.3,99.8,53.5
15,Arunachal Pradesh,46.9,69.7,67.4,67.1,26.3,25.0,16.3,84.4,70.9,82.3,81.8,74.0
16,Arunachal Pradesh,39.6,66.2,66.2,51.5,24.5,12.9,12.7,87.6,80.4,83.7,96.9,70.9
17,Andhra Pradesh,51.0,91.9,93.5,65.2,23.1,22.4,14.3,76.7,66.3,77.7,97.9,77.9
18,Andhra Pradesh,66.6,89.1,87.3,50.0,36.0,40.6,19.3,92.9,81.8,71.3,98.8,63.6
19,Arunachal Pradesh,44.1,62.3,61.1,42.2,29.2,13.9,15.1,89.5,71.4,78.3,99.8,76.0
20,Andhra Pradesh,78.4,90.8,97.7,59.2,19.7,21.4,19.5,93.3,82.8,71.6,87.7,64.3
21,Andaman And Nicobar Islands,71.7,85.1,92.5,48.0,21.6,24.6,15.7,67.3,69.1,83.5,98.8,87.5
22,Andhra Pradesh,73.4,90.1,90.3,64.8,22.6,24.7,8.7,65.3,55.0,78.4,98.6,62.8
23,Andhra Pradesh,82.8,92.3,91.3,60.2,34.4,26.7,14.1,88.7,84.9,85.4,99.9,63.8
24,Arunachal Pradesh,34.3,55.7,58.8,40.4,24.6,10.3,8.6,81.9,59.0,83.9,97.3,81.9
25,Andhra Pradesh,65.3,93.8,95.2,43.9,27.1,27.9,14.8,89.6,69.1,74.6,98.5,69.3
26,Arunachal Pradesh,29.1,53.6,54.6,39.5,35.7,14.2,15.8,77.8,71.9,75.6,93.6,59.1
27,Andhra Pradesh,62.7,94.8,96.4,66.8,31.4,22.5,11.7,91.7,80.0,80.8,99.1,77.0
28,Assam,43.6,70.5,73.9,70.7,29.8,26.2,19.5,83.8,67.5,63.7,98.1,74.8
29,Assam,75.6,82.1,87.0,64.3,27.3,32.0,20.6,97.8,83.8,75.3,98.1,76.6
30,West Bengal,71.7,72.8,84.6,61.4,29.6,32.9,29.3,91.0,84.7,60.9,99.3,87.6
31,Uttar Pradesh,25.8,69.5,67.5,39.7,42.7,26.5,9.1,80.6,69.1,68.8,96.7,69.7
32,Uttarakhand,48.9,78.5,80.4,46.9,29.3,20.7,12.8,98.0,85.0,84.6,84.1,74.9
33,Gujarat,76.6,90.1,88.3,50.9,30.2,36.2,26.1,80.1,81.0,73.4,93.9,66.1
34,Odisha,87.7,89.3,88.7,70.8,44.1,46.6,25.2,97.4,94.8,44.1,99.1,38.5
35,Kerala,55.1,85.0,83.5,38.1,23.4,17.3,8.4,0.0,0.0,98.6,97.1,99.7
36,Punjab,57.9,88.1,89.4,67.7,35.0,30.7,13.6,79.5,57.6,82.9,97.8,71.1
37,Madhya Pradesh,41.0,76.2,73.2,61.8,45.8,37.7,16.2,75.5,70.2,48.0,91.1,49.8
38,Meghalaya,58.6,49.1,45.0,40.6,49.8,23.6,8.5,83.8,80.8,83.6,74.6,76.0
39,Haryana,53.4,82.7,83.0,59.7,31.0,21.0,9.9,86.7,75.0,80.3,96.7,68.3
40,Maharashtra,70.2,87.2,93.3,58.5,40.8,30.8,17.8,83.1,79.0,74.7,96.7,90.5
41,Bihar,17.4,54.2,52.2,65.1,34.8,36.4,25.3,82.6,73.1,65.0,98.8,51.8
42,Karnataka,82.0,83.5,83.5,35.0,25.1,26.4,30.5,96.5,89.0,97.1,88.6,92.7
43,Karnataka,63.7,87.0,85.6,48.5,32.8,36.9,23.6,91.8,87.0,67.7,94.4,74.0
