State,Total District Hospitals,Life Expectancy,IMR
Andaman And Nicobar Islands,3,70.43913043,19.02777778
Andhra Pradesh,14,70,24
Arunachal Pradesh,17,70.43913043,21
Assam,25,66.9,36
Bihar,36,69.1,27
Chandigarh,1,70.43913043,8
Chhattisgarh,26,65.2,38
Delhi,47,75.3,19.02777778
Goa,2,70.43913043,5
Gujarat,22,69.9,23
Haryana,22,69.8,28
Himachal Pradesh,12,72.9,17
Jammu And Kashmir,21,74,19.02777778
Jharkhand,23,69.1,25
Karnataka,15,69.4,19
Kerala,18,75.3,6
Ladakh,2,74,16
Lakshadweep,1,70.43913043,9
Madhya Pradesh,51,66.5,43
Maharashtra,23,72.5,16
Manipur,9,70.43913043,6
Meghalaya,11,70.43913043,29
Mizoram,9,70.43913043,3
Nagaland,11,70.43913043,4
Odisha,32,69.3,36
Puducherry,5,70.43913043,6
Punjab,22,72.7,18
Rajasthan,27,68.7,32
Sikkim,4,70.43913043,5
Tamil Nadu,31,72.1,13
Telangana,6,69.6,21
The Dadra And Nagar Haveli And Daman And Diu,3,70.43913043,19.02777778
Tripura,7,70.43913043,18
Uttar Pradesh,157,65.3,38
Uttarakhand,18,70.9,24
West Bengal,23,71.6,19
Andaman & Nicobar Islands,21,70.43913043,7
NCT of Delhi,21,70.43913043,12
Dadra & Nagar Haveli,21,70.43913043,16
Jammu & Kashmir,21,70.43913043,17
